w,Sun,,,Mon,,,Tue,,,Wed,,,Thu,,,Fri,,,Sat,,,,
,,,,,,,,,,s,17:45,,,,,,,,,,,,
,,,,,,,,,,w,18:45,1.00,,,,,,,,,,,
,,,,,,,,,,s,22:15,,,,,,,,,,,,
,,,,,,,,,,w,23:00,0.75,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
9/17/2017,b,2:15,9.50,b,1:30,7.75,b,4:15,8.00,w,1:00,1.75,b,1:15,10.00,b,0:00,7.75,b,0:45,8.25,,
,w,6:15,4.00,w,3:30,2.00,w,9:15,5.00,b,1:45,7.75,w,6:45,5.50,w,1:15,1.25,w,3:30,2.75,,
,s,10:30,,s,4:00,,s,20:45,,w,7:45,6.00,s,12:00,,s,2:30,,s,6:30,,,
,w,13:00,2.50,w,8:30,4.50,w,21:45,1.00,s,10:00,,w,14:15,2.25,w,4:15,1.75,w,7:45,1.25,,
,s,22:00,,s,22:00,,s,23:15,,w,11:15,1.25,,,,s,4:30,,s,10:30,,,
,w,23:15,1.25,w,23:30,1.50,,,,s,13:00,,,,,w,7:30,3.00,w,11:30,1.00,,
,,,,,,,,,,w,15:45,2.75,,,,s,11:30,,s,11:45,,,
,,,,,,,,,,,,,,,,w,12:45,1.25,w,13:00,1.25,,
,,,,,,,,,,,,,,,,s,17:00,,s,15:30,,,
,,,,,,,,,,,,,,,,w,18:00,1.00,w,16:30,1.00,,
,,,,,,,,,,,,,,,,,,,s,20:15,,,
,,,,,,,,,,,,,,,,,,,w,21:30,1.25,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
9/24/2017,b,1:15,8.50,b,2:00,6.25,w,2:00,3.25,b,4:15,9.00,b,1:00,5.75,b,3:30,7.25,b,0:45,7.75,,
,w,3:15,2.00,w,4:15,2.25,s,3:00,,w,10:00,5.75,w,5:30,4.50,w,8:30,4.00,w,3:00,2.25,,
,s,4:00,,s,4:15,,w,4:30,1.50,,,,s,10:15,,s,12:00,,s,3:45,,,
,w,6:00,2.00,w,6:00,1.75,s,5:00,,,,,w,11:15,1.00,w,14:45,2.75,w,5:30,1.75,,
,s,8:30,,s,9:15,,w,6:15,1.25,,,,s,18:15,,s,19:00,,s,8:45,,,
,w,9:30,1.00,w,10:00,0.75,s,14:15,,,,,w,20:00,1.75,w,20:00,1.00,w,10:45,2.00,,
,s,21:30,,s,13:00,,w,15:15,1.00,,,,,,,,,,s,16:00,,,
,w,22:45,1.25,w,14:15,1.25,s,19:00,,,,,,,,,,,w,16:45,0.75,,
,,,,b,22:45,6.00,w,20:00,1.00,,,,,,,,,,b,23:45,6.75,,
,,,,,,,s,22:00,,,,,,,,,,,,,,,
,,,,,,,w,23:00,1.00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
10/1/2017,w,4:00,4.25,b,1:45,8.75,b,0:45,8.75,b,1:15,10.25,b,1:00,7.25,b,2:00,7.00,b,1:30,8.75,,
,s,9:00,,w,8:00,6.25,w,8:30,7.75,w,7:15,6.00,w,4:15,3.25,w,6:45,4.75,w,7:45,6.25,,
,w,10:00,1.00,s,13:00,,s,12:00,,s,19:00,,s,5:00,,s,9:15,,s,21:30,,,
,s,10:45,,w,14:15,1.25,w,14:00,2.00,w,20:15,1.25,w,7:00,2.00,w,10:45,1.50,w,23:00,1.50,,
,w,11:45,1.00,s,18:00,,s,21:30,,,,,s,11:00,,s,11:15,,,,,,
,s,17:45,,w,19:15,1.25,w,22:00,0.50,,,,w,12:00,1.00,w,12:30,1.25,,,,,
,w,19:00,1.25,,,,,,,,,,s,17:15,,s,19:15,,,,,,
,s,22:00,,,,,,,,,,,w,18:00,0.75,w,20:30,1.25,,,,,
,w,23:15,1.25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
10/8/2017,b,1:15,7.75,b,1:15,8.50,b,0:30,7.75,b,2:00,9.00,w,5:15,5.75,b,2:45,8.50,w,0:15,1.00,,
,w,5:15,4.00,w,6:15,5.00,w,3:30,3.00,w,6:30,4.50,s,7:30,,w,6:30,3.75,b,4:30,7.25,,
,s,8:00,,s,9:00,,s,3:45,,s,11:45,,w,9:00,1.50,s,14:45,,w,8:30,4.00,,
,w,10:00,2.00,w,10:45,1.75,w,7:00,3.25,w,14:30,2.75,s,10:15,,w,15:45,1.00,s,14:15,,,
,s,11:15,,s,17:15,,s,16:00,,s,15:15,,w,11:00,0.75,s,19:30,,w,15:00,0.75,,
,w,11:45,0.50,w,18:15,1.00,w,17:00,1.00,w,15:45,0.50,s,22:15,,w,20:30,1.00,s,21:30,,,
,s,19:00,,,,,s,19:30,,b,23:30,7.75,w,22:45,0.50,s,22:00,,w,22:45,1.25,,
,w,21:00,2.00,,,,w,20:45,1.25,,,,,,,w,22:30,0.50,,,,,
,,,,,,,s,22:45,,,,,,,,s,23:15,,,,,,
,,,,,,,w,23:15,0.50,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
10/15/2017,b,3:30,6.00,b,0:15,8.25,s,0:00,,w,1:30,2.00,b,1:00,5.50,b,2:30,10.25,b,2:15,7.75,,
,w,8:00,4.50,w,5:00,4.75,w,1:00,1.00,b,6:15,10.00,w,7:30,6.50,w,7:00,4.50,w,8:00,5.75,,
,s,9:15,,s,5:45,,b,3:15,9.50,w,9:00,2.75,s,12:00,,s,8:30,,s,10:00,,,
,w,10:30,1.25,w,6:45,1.00,w,9:45,6.50,s,11:30,,w,13:00,1.00,w,10:30,2.00,w,11:15,1.25,,
,s,12:00,,s,7:30,,s,16:45,,w,12:45,1.25,s,15:15,,s,19:45,,s,15:45,,,
,w,13:15,1.25,w,9:00,1.50,w,18:15,1.50,s,18:15,,w,17:00,1.75,w,21:00,1.25,w,16:45,1.00,,
,s,17:45,,s,19:45,,s,23:30,,w,18:30,0.25,s,22:45,,,,,s,21:15,,,
,w,19:00,1.25,w,21:00,1.25,,,,s,19:00,,w,23:45,1.00,,,,w,22:45,1.50,,
,,,,,,,,,,w,20:15,1.25,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
10/22/2017,b,2:00,9.50,s,0:15,,b,4:00,5.50,b,2:30,7.25,b,3:15,9.00,b,4:30,6.75,b,5:00,8.50,,
,w,8:00,6.00,w,4:30,4.25,w,6:15,2.25,w,6:30,4.00,w,8:15,5.00,w,12:00,7.50,w,8:30,3.50,,
,s,11:15,,b,5:30,12.75,s,6:45,,s,10:45,,s,11:15,,s,22:15,,s,10:45,,,
,w,12:15,1.00,w,7:15,1.75,w,8:15,1.50,w,12:30,1.75,w,12:30,1.25,w,23:15,1.00,w,12:45,2.00,,
,s,14:45,,s,7:30,,s,12:30,,s,18:15,,s,22:30,,,,,s,15:30,,,
,w,15:15,0.50,w,9:00,1.50,w,14:15,1.75,w,18:45,0.50,w,23:00,0.50,,,,w,16:15,0.75,,
,s,19:00,,s,10:45,,s,19:00,,s,19:15,,,,,,,,s,18:15,,,
,w,20:00,1.00,w,12:00,1.25,w,19:45,0.75,w,20:45,1.50,,,,,,,w,20:15,2.00,,
,,,,s,22:00,,s,21:00,,s,21:30,,,,,,,,,,,,
,,,,w,23:00,1.00,w,21:30,0.50,w,22:45,1.25,,,,,,,,,,,
,,,,,,,s,23:15,,,,,,,,,,,,,,,
,,,,,,,w,23:45,0.50,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
10/29/2017,b,2:45,8.25,w,0:00,1.25,b,2:15,6.75,b,2:15,8.25,b,3:00,6.50,b,0:45,6.25,b,5:00,10.50,,
,w,6:15,3.50,b,4:00,7.75,w,4:00,1.75,w,7:00,4.75,w,6:45,3.75,w,4:30,3.75,w,7:15,2.25,,
,s,10:00,,w,8:45,4.75,s,5:15,,s,13:00,,s,8:00,,s,7:30,,s,9:45,,,
,w,11:45,1.75,s,12:30,,w,7:45,2.50,w,14:15,1.25,w,9:00,1.00,w,10:45,3.25,w,10:45,1.00,,
,s,16:30,,w,13:30,1.00,s,11:00,,s,18:00,,s,14:30,,s,12:15,,s,12:15,,,
,w,17:45,1.25,s,17:30,,w,11:30,0.50,w,18:30,0.50,w,16:00,1.50,w,13:30,1.25,w,13:45,1.50,,
,s,22:45,,w,18:30,1.00,s,11:45,,,,,,,,s,18:15,,s,17:15,,,
,,,,,,,w,12:00,0.25,,,,,,,w,18:30,0.25,w,18:15,1.00,,
,,,,,,,s,18:45,,,,,,,,s,20:30,,s,22:15,,,
,,,,,,,w,22:00,3.25,,,,,,,w,21:00,0.50,w,23:15,1.00,,
,,,,,,,,,,,,,,,,s,22:15,,,,,,
,,,,,,,,,,,,,,,,w,23:45,1.50,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11/5/2017,b,4:00,6.75,b,4:15,8.25,s,1:00,,b,1:15,5.00,b,3:45,9.50,b,3:00,8.75,b,0:45,7.50,,
,w,9:30,5.50,w,7:45,3.50,w,2:45,1.75,w,5:00,4.75,w,9:45,6.00,w,6:15,3.25,w,3:30,2.75,,
,s,20:15,,s,10:45,,b,6:00,8.50,s,10:30,,s,13:30,,s,10:45,,s,11:45,,,
,w,23:00,2.75,w,11:45,1.00,w,10:00,4.00,w,13:15,2.75,w,14:45,1.25,w,12:45,2.00,w,12:45,1.00,,
,,,,s,15:45,,s,17:00,,s,17:30,,s,20:30,,s,15:15,,s,18:30,,,
,,,,w,16:45,1.00,w,18:00,1.00,w,18:30,1.00,w,21:00,0.50,w,16:15,1.00,w,19:15,0.75,,
,,,,s,18:15,,,,,s,21:00,,s,21:45,,s,20:30,,,,,,
,,,,w,19:00,0.75,,,,w,21:15,0.25,w,22:45,1.00,w,22:45,2.25,,,,,
,,,,s,23:00,,,,,s,22:30,,,,,,,,,,,,
,,,,w,23:30,0.50,,,,w,23:15,0.75,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11/12/2017,b,0:45,4.50,b,2:30,9.75,b,1:15,7.00,b,3:15,7.75,b,3:30,6.25,s,1:00,,s,1:00,,,
,w,4:15,3.50,w,4:45,2.25,w,6:15,5.00,w,6:30,3.25,w,6:15,2.75,w,2:15,1.25,w,2:15,1.25,,
,s,8:45,,s,5:00,,s,12:30,,s,10:00,,s,15:00,,b,5:30,6.25,b,5:15,9.75,,
,w,12:15,3.50,w,8:45,3.75,w,13:45,1.25,w,13:00,3.00,w,16:15,1.25,w,9:15,3.75,w,6:45,1.50,,
,s,13:45,,s,18:15,,s,19:00,,,,,s,22:30,,s,11:00,,s,7:15,,,
,w,15:00,1.25,w,19:15,1.00,w,20:30,1.50,,,,w,23:30,1.00,w,13:45,2.75,w,11:15,4.00,,
,s,20:15,,,,,,,,,,,,,,s,16:45,,s,12:30,,,
,w,21:15,1.00,,,,,,,,,,,,,w,18:45,2.00,w,13:30,1.00,,
,s,21:45,,,,,,,,,,,,,,,,,s,19:30,,,
,w,22:15,0.50,,,,,,,,,,,,,,,,w,20:45,1.25,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11/19/2017,b,3:45,7.75,b,3:00,7.75,b,3:15,6.75,w,5:30,5.75,b,0:45,9.00,w,5:15,5.75,b,1:00,8.50,,
,w,6:15,2.50,w,6:45,3.75,w,6:30,3.25,s,9:45,,w,5:45,5.00,s,7:00,,w,4:45,3.75,,
,s,10:00,,s,12:00,,s,12:00,,w,11:00,1.25,s,19:00,,w,9:15,1.75,s,10:45,,,
,w,13:15,3.25,w,14:15,2.25,w,13:00,1.00,s,15:45,,w,20:30,1.50,s,21:15,,w,11:30,0.75,,
,s,17:30,,s,21:45,,s,19:00,,w,16:45,1.00,b,23:30,6.50,w,22:15,1.00,s,13:30,,,
,w,18:30,1.00,w,22:30,0.75,w,20:00,1.00,s,20:00,,,,,,,,w,14:30,1.00,,
,s,22:15,,,,,b,23:45,5.25,w,21:00,1.00,,,,,,,b,23:45,5.50,,
,w,23:15,1.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11/26/2017,w,4:45,5.00,b,2:00,8.50,b,2:45,6.50,b,3:30,9.25,b,1:15,6.25,s,0:45,,s,1:45,,,
,s,9:15,,w,6:15,4.25,w,7:00,4.25,w,7:30,4.00,w,6:00,4.75,w,1:15,0.50,w,4:45,3.00,,
,w,12:00,2.75,s,13:00,,s,10:15,,s,12:45,,s,16:00,,b,4:45,7.25,b,5:45,11.25,,
,s,18:45,,w,14:15,1.25,w,12:30,2.25,w,13:45,1.00,w,16:45,0.75,w,9:15,4.50,w,7:45,2.00,,
,w,19:30,0.75,s,18:30,,s,16:00,,s,19:45,,s,20:30,,s,11:30,,s,9:15,,,
,,,,w,19:30,1.00,w,18:00,2.00,w,21:00,1.25,w,21:45,1.25,w,14:30,3.00,w,11:45,2.50,,
,,,,,,,s,22:30,,,,,,,,s,20:30,,s,14:15,,,
,,,,,,,w,23:15,0.75,,,,,,,w,21:15,0.75,w,14:45,0.50,,
,,,,,,,,,,,,,,,,,,,s,18:45,,,
,,,,,,,,,,,,,,,,,,,w,19:45,1.00,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
12/3/2017,b,3:15,6.00,b,2:30,7.00,b,3:00,7.25,b,1:30,6.00,b,2:30,9.50,b,2:15,7.00,w,0:45,2.00,,
,w,6:45,3.50,w,5:00,2.50,w,5:45,2.75,w,4:45,3.25,w,6:30,4.00,w,4:45,2.50,b,5:15,5.75,,
,s,11:45,,s,9:00,,s,6:45,,s,5:00,,s,10:15,,s,15:45,,w,8:15,3.00,,
,w,13:15,1.50,w,10:45,1.75,w,8:15,1.50,w,6:15,1.25,w,12:00,1.75,w,17:00,1.25,s,11:00,,,
,s,19:00,,s,13:00,,s,12:45,,s,11:30,,s,15:00,,s,22:45,,w,12:15,1.25,,
,w,20:00,1.00,w,14:00,1.00,w,14:00,1.25,w,14:15,2.75,w,16:15,1.25,,,,s,17:30,,,
,s,21:30,,s,17:15,,s,21:00,,s,19:00,,,,,,,,w,19:15,1.75,,
,w,22:30,1.00,w,18:15,1.00,w,21:30,0.50,w,20:15,1.25,,,,,,,s,21:45,,,
,,,,s,22:45,,,,,s,21:45,,,,,,,,w,23:00,1.25,,
,,,,w,23:45,1.00,,,,w,22:45,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
12/10/2017,b,3:30,7.25,b,3:15,8.25,b,3:00,5.75,w,0:00,0.25,b,2:15,7.75,b,3:45,8.00,b,2:15,6.50,,
,w,7:00,3.50,w,5:00,1.75,w,5:15,2.25,b,1:00,7.50,w,9:00,6.75,w,6:15,2.50,w,4:30,2.25,,
,s,10:45,,s,5:15,,s,5:30,,w,5:15,4.25,s,16:30,,s,8:00,,s,8:15,,,
,w,12:00,1.25,w,7:00,1.75,w,7:45,2.25,s,5:45,,w,17:45,1.25,w,9:15,1.25,w,9:45,1.50,,
,s,16:15,,s,12:15,,s,10:30,,w,6:45,1.00,,,,s,12:00,,s,16:30,,,
,w,18:30,2.25,w,13:45,1.50,w,12:30,2.00,s,13:00,,,,,w,13:45,1.75,w,18:15,1.75,,
,s,21:15,,s,19:15,,s,15:30,,w,13:15,0.25,,,,s,16:15,,s,21:00,,,
,w,22:30,1.25,w,20:00,0.75,w,16:15,0.75,s,13:45,,,,,w,17:15,1.00,w,22:00,1.00,,
,,,,,,,s,23:45,,w,15:30,1.75,,,,,,,,,,,
,,,,,,,,,,s,20:15,,,,,,,,,,,,
,,,,,,,,,,w,20:45,0.50,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
12/17/2017,b,2:15,6.50,b,4:30,9.50,b,0:15,7.75,b,0:30,7.25,w,0:30,1.25,b,3:45,8.75,b,4:00,7.50,,
,w,6:00,3.75,w,7:45,3.25,w,3:00,2.75,w,4:00,3.50,b,4:00,9.75,w,7:00,3.25,w,6:45,2.75,,
,s,9:00,,s,11:30,,s,4:15,,s,14:45,,w,7:00,3.00,s,10:15,,s,10:45,,,
,w,12:00,3.00,w,15:15,3.75,w,5:30,1.25,w,16:15,1.50,s,8:45,,w,11:45,1.50,w,12:15,1.50,,
,s,16:15,,s,18:00,,s,16:30,,s,16:30,,w,11:30,2.75,s,20:15,,s,14:15,,,
,w,17:45,1.50,w,18:45,0.75,w,18:15,1.75,w,20:00,3.50,s,15:30,,w,23:00,2.75,w,15:30,1.25,,
,s,21:45,,,,,s,19:15,,s,23:15,,w,17:30,2.00,,,,s,17:30,,,
,w,23:00,1.25,,,,w,20:45,1.50,,,,s,18:00,,,,,w,18:15,0.75,,
,,,,,,,,,,,,,w,19:00,1.00,,,,s,21:00,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
12/24/2017,w,0:00,3.00,b,4:15,8.25,b,2:30,7.50,b,1:30,5.25,b,2:15,5.50,b,5:00,7.75,s,0:30,,,
,b,3:00,9.25,w,7:45,3.50,w,4:15,1.75,w,3:45,2.25,w,6:00,3.75,w,8:00,3.00,w,1:15,0.75,,
,w,7:45,4.75,s,12:00,,s,9:30,,s,5:15,,s,12:15,,s,11:45,,b,4:45,7.25,,
,s,11:45,,w,13:15,1.25,w,11:00,1.50,w,6:15,1.00,w,14:30,2.25,w,13:45,2.00,w,5:00,0.25,,
,w,13:15,1.50,s,16:00,,s,15:15,,s,14:30,,s,20:15,,s,20:15,,s,6:00,,,
,s,16:30,,w,17:00,1.00,w,16:30,1.25,w,16:00,1.50,w,22:00,1.75,w,21:45,1.50,w,12:30,6.50,,
,w,17:45,1.25,s,19:30,,s,18:30,,s,17:15,,,,,,,,s,13:15,,,
,s,20:15,,w,21:15,1.75,w,19:15,0.75,w,18:00,0.75,,,,,,,w,15:00,1.75,,
,w,21:00,0.75,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
12/31/2017,b,4:00,8.50,b,4:00,5.75,b,3:00,5.75,b,4:30,6.25,s,1:00,,w,1:30,2.25,b,4:30,8.00,,
,w,6:30,2.50,w,6:15,2.25,w,6:30,3.50,w,8:15,3.75,w,2:00,1.00,b,4:45,8.00,w,7:30,3.00,,
,s,12:00,,s,12:00,,s,11:30,,s,12:30,,b,6:15,9.00,w,6:45,2.00,s,9:45,,,
,w,14:00,2.00,w,13:00,1.00,w,13:00,1.50,w,14:15,1.75,w,10:45,4.50,s,8:00,,w,12:00,2.25,,
,s,19:15,,s,16:30,,s,20:45,,s,18:00,,s,13:45,,w,9:15,1.25,s,15:30,,,
,w,20:30,1.25,w,18:30,1.00,w,22:00,1.25,w,19:00,1.00,w,15:00,1.25,s,12:00,,w,16:45,1.25,,
,,,,s,20:00,,,,,s,20:30,,s,23:15,,w,14:30,2.50,s,19:45,,,
,,,,w,21:30,1.50,,,,w,22:00,1.50,,,,s,18:30,,w,20:45,1.00,,
,,,,,,,,,,,,,,,,w,19:30,1.00,s,21:30,,,
,,,,,,,,,,,,,,,,s,20:15,,w,22:30,1.00,,
,,,,,,,,,,,,,,,,w,21:30,1.25,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1/7/2018,b,4:15,8.50,w,0:00,1.25,b,3:15,10.50,b,4:15,6.50,b,4:00,9.25,w,0:30,1.00,s,0:30,,,
,w,8:45,4.50,b,4:15,8.00,w,7:00,3.75,w,5:30,1.25,w,6:30,2.50,b,4:15,9.75,w,1:00,0.50,,
,s,14:30,,w,10:15,6.00,s,9:30,,s,6:00,,s,9:15,,w,8:30,4.25,b,4:00,6.50,,
,w,15:45,1.25,s,12:15,,w,10:30,1.00,w,9:00,3.00,w,10:15,1.00,s,12:00,,w,6:00,2.00,,
,s,18:15,,w,13:15,1.00,s,13:45,,s,12:30,,s,12:15,,w,13:00,1.00,s,7:30,,,
,w,19:15,1.00,s,14:30,,w,14:45,1.00,w,15:45,3.25,w,14:45,2.50,s,17:15,,w,10:00,2.50,,
,s,22:45,,w,16:00,1.50,s,21:15,,s,17:45,,s,16:30,,w,18:00,0.75,s,12:45,,,
,,,,s,19:15,,w,22:00,0.75,w,18:45,1.00,w,17:00,0.50,,,,w,14:30,1.75,,
,,,,w,21:15,2.00,,,,s,23:00,,s,17:15,,,,,s,18:30,,,
,,,,,,,,,,w,23:45,0.75,w,18:00,0.75,,,,w,19:15,0.75,,
,,,,,,,,,,,,,s,20:15,,,,,s,22:00,,,
,,,,,,,,,,,,,w,21:45,1.50,,,,w,23:15,1.25,,
,,,,,,,,,,,,,s,23:30,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1/14/2018,b,4:00,8.25,b,4:00,8.50,b,4:00,8.50,s,1:30,,b,4:00,7.50,b,2:00,6.50,b,3:15,8.75,,
,w,6:15,2.25,w,7:30,3.50,w,6:00,2.00,w,2:30,1.00,w,7:30,3.50,w,5:45,3.75,w,7:00,3.75,,
,s,9:45,,s,10:30,,s,8:00,,b,5:45,10.75,s,12:45,,s,7:15,,s,8:15,,,
,w,11:30,1.75,w,12:00,1.50,w,9:15,1.25,w,10:00,4.25,w,14:15,1.50,w,8:15,1.00,w,10:00,1.75,,
,s,13:30,,s,16:30,,s,11:00,,s,11:45,,s,17:45,,s,10:45,,s,14:00,,,
,w,16:15,2.75,w,18:30,2.00,w,12:15,1.25,w,13:00,1.25,w,18:45,1.00,w,11:00,0.25,w,17:00,3.00,,
,s,19:45,,s,20:45,,s,15:30,,s,16:30,,s,22:00,,s,13:00,,s,19:00,,,
,w,20:15,0.50,w,21:30,0.75,w,16:45,1.25,w,17:30,1.00,w,22:30,0.50,w,15:15,2.25,w,20:00,1.00,,
,s,21:00,,s,22:15,,s,17:15,,s,20:30,,,,,s,18:00,,s,20:15,,,
,w,22:15,1.25,w,23:00,0.75,w,18:30,1.25,w,21:30,1.00,,,,w,18:45,0.75,w,22:15,2.00,,
,,,,,,,s,20:15,,,,,,,,s,20:00,,,,,,
,,,,,,,w,23:00,2.75,,,,,,,w,20:45,0.75,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1/21/2018,b,3:30,11.50,b,3:15,6.50,s,1:15,,b,4:30,7.50,b,5:00,5.75,s,0:45,,b,4:30,11.50,,
,w,5:30,2.00,w,6:45,3.50,w,2:15,1.00,w,7:00,2.50,w,9:00,4.00,w,1:45,1.00,w,7:45,3.25,,
,s,8:00,,s,13:30,,b,5:30,8.50,s,8:15,,s,18:00,,b,4:45,7.25,s,11:45,,,
,w,9:00,1.00,w,15:00,1.50,w,7:45,2.25,w,9:30,1.25,w,20:15,2.25,w,10:15,5.50,w,13:15,1.50,,
,s,9:45,,s,15:15,,s,9:30,,s,17:00,,,,,s,11:30,,s,17:00,,,
,w,11:15,1.50,w,16:45,1.50,w,10:30,1.00,w,18:00,1.00,,,,w,14:00,2.50,w,18:30,1.50,,
,s,16:45,,s,19:15,,s,13:15,,s,20:15,,,,,s,15:00,,s,21:00,,,
,w,17:45,1.00,w,20:15,1.00,w,16:00,2.75,w,21:15,1.00,,,,w,16:45,1.75,w,22:30,1.50,,
,s,22:15,,,,,s,16:45,,,,,,,,s,18:45,,,,,,
,w,23:15,1.00,,,,w,17:15,0.50,,,,,,,w,19:45,1.00,,,,,
,,,,,,,s,21:30,,,,,,,,s,22:45,,,,,,
,,,,,,,w,22:30,1.00,,,,,,,w,23:30,0.75,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1/28/2018,b,3:30,7.75,w,0:45,1.00,b,3:00,7.75,w,0:00,2.00,b,3:00,7.50,b,3:30,8.75,w,2:00,2.75,,
,w,6:15,2.75,b,3:30,8.00,w,5:00,2.00,b,3:30,7.75,w,5:15,2.25,w,6:00,2.50,b,2:45,9.50,,
,s,8:00,,w,6:15,2.75,s,6:30,,w,6:30,3.00,s,5:30,,s,8:15,,w,5:45,3.00,,
,w,9:15,1.25,s,7:15,,w,7:45,1.25,s,7:15,,w,8:45,3.25,w,9:45,1.50,s,6:30,,,
,s,11:15,,w,8:45,1.50,s,9:30,,w,8:45,1.50,s,12:30,,s,15:30,,w,7:30,1.00,,
,w,13:00,1.75,s,9:15,,w,10:45,1.25,s,11:30,,w,13:15,0.75,w,16:30,1.00,s,7:45,,,
,s,16:45,,w,11:00,1.75,s,17:00,,w,13:15,1.75,s,15:15,,s,20:00,,w,8:00,0.75,,
,w,17:45,1.00,s,19:00,,w,17:15,0.25,s,20:30,,w,16:30,1.25,w,21:45,1.75,s,8:15,,,
,s,20:00,,w,20:45,1.75,s,19:15,,w,21:45,1.25,s,19:30,,s,23:15,,w,9:45,1.50,,
,w,20:30,0.50,,,,w,20:15,1.00,,,,w,20:45,1.25,,,,s,11:00,,,
,s,21:15,,,,,s,22:00,,,,,,,,,,,w,13:45,2.75,,
,w,22:00,0.75,,,,,,,,,,,,,,,,s,21:00,,,
,s,23:45,,,,,,,,,,,,,,,,,w,23:00,2.00,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2/4/2018,b,4:00,11.00,b,1:15,6.75,b,2:00,6.50,w,0:00,1.00,w,0:45,1.00,w,0:00,1.00,b,3:45,8.50,,
,w,6:15,2.25,w,6:30,5.25,w,4:00,2.00,b,3:15,8.75,b,4:15,8.50,b,4:00,6.00,w,5:30,1.75,,
,s,6:30,,s,18:15,,s,12:00,,w,6:00,2.75,w,6:45,2.50,w,6:30,2.50,s,7:00,,,
,w,8:45,2.25,w,19:30,1.25,w,15:45,3.75,s,7:30,,s,11:15,,s,11:15,,w,8:30,1.00,,
,s,9:30,,,,,s,16:15,,w,8:45,1.25,w,13:45,2.50,w,11:45,0.50,s,16:45,,,
,w,10:30,1.00,,,,w,18:15,2.00,s,11:30,,s,23:00,,s,12:30,,w,17:45,1.00,,
,s,16:45,,,,,s,23:00,,w,14:00,2.50,,,,w,15:45,3.25,s,20:15,,,
,w,18:00,1.25,,,,,,,s,15:30,,,,,s,19:00,,w,21:45,1.50,,
,,,,,,,,,,w,16:30,1.00,,,,w,19:30,0.50,s,22:15,,,
,,,,,,,,,,s,23:45,,,,,s,19:45,,w,23:00,0.75,,
,,,,,,,,,,,,,,,,w,21:30,1.75,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2/11/2018,b,3:45,6.00,s,1:15,,b,4:00,11.25,b,2:00,7.25,b,3:00,10.25,b,0:15,6.50,b,1:30,10.50,,
,w,6:30,2.75,w,2:30,1.25,w,6:00,2.00,w,3:30,1.50,w,5:00,2.00,w,4:15,4.00,w,4:00,2.50,,
,s,7:00,,b,4:00,9.75,s,8:00,,s,4:15,,s,6:45,,s,4:15,,s,4:15,,,
,w,8:00,0.50,w,6:00,2.00,w,10:45,2.75,w,6:30,2.25,w,8:15,1.50,w,5:30,1.25,w,5:30,1.25,,
,s,9:00,,s,9:30,,s,12:45,,s,10:00,,s,8:45,,s,6:00,,s,5:45,,,
,w,13:00,4.00,w,12:30,3.00,w,14:00,1.25,w,11:15,1.25,w,10:30,1.75,w,8:00,2.00,w,7:00,1.25,,
